Rating,Date,Listeners,Playcount,NumSongs,Duration,Year,MonthP,album_count,all_albums,indie,electronic,hip hop,indie rock,folk,rock,ambient,experimental,post rock,rap,indie pop,noise,jazz,black metal,post punk,idm,alternative,shoegaze,pop,electronica,singer songwriter,punk,noise rock,psychedelic,soul,female vocalists,dubstep,instrumental,techno,alternative rock,trip hop,lo fi,americana,math rock,electro,dream pop,progressive rock,classic rock,blues,r&b,emo,hardcore,urban_cluster,classic_rock_cluster,traditional_cluster,electronic_cluster,alternative_cluster,pop_cluster,punk_cluster,indie_cluster,experimental_cluster,months_from_start,days_since_2016_06_22,days_divisor,playcount_per_day,log_playcount_per_day,days_since_2002_03_31,num_clusters
9,6/4/2001,941652,25587836,26,6379,2001,2001-06,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,5497,5497,4654.87284,3.667907822,65,2
8,5/31/2001,78560,1014439,22,4192,2001,2001-05,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5501,5501,184.4099255,2.265784292,61,2
8.6,6/5/2001,504,8513,0,0,2001,2001-06,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5496,5496,1.548944687,0.190035909,66,0
7.5,6/5/2001,61759,732122,11,2538,2001,2001-06,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5496,5496,133.2099709,2.124536733,66,1
8.5,6/5/2001,53980,435211,6,2570,2001,2001-06,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5496,5496,79.18686317,1.89865314,66,1
9.7,6/5/2001,84653,965269,6,2748,2001,2001-06,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,5496,5496,175.6311863,2.244601635,66,2
7.1,6/5/2001,134221,1537832,14,3450,2001,2001-06,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5496,5496,279.8093159,2.44686217,66,1
8.8,6/18/2001,750,5727,12,2108,2001,2001-06,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5483,5483,1.044501185,0.018908937,79,0
8,6/12/2001,34213,216800,13,2065,2001,2001-06,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5489,5489,39.49717617,1.596566047,73,1
6.1,6/12/2001,682294,6502689,14,3384,2001,2001-06,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5489,5489,1184.676444,3.073599753,73,1
8.3,6/19/2001,8400,37024,13,4610,2001,2001-06,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5482,5482,6.753739511,0.829544306,80,0
7.4,6/19/2001,2191,40001,9,2509,2001,2001-06,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5482,5482,7.296789493,0.863131817,80,0
7.5,6/26/2001,19216,86435,4,953,2001,2001-06,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5475,5475,15.78721461,1.198305513,87,1
5.1,6/26/2001,138831,1080496,10,2655,2001,2001-06,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,5475,5475,197.3508676,2.29523904,87,2
7,6/30/2001,38464,288450,13,2816,2001,2001-06,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5471,5471,52.72345092,1.722003829,91,0
8.6,6/30/2001,106204,863026,10,2750,2001,2001-06,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5471,5471,157.7455675,2.197957165,91,0
8.6,6/26/2001,133,554,4,3080,2001,2001-06,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5475,5475,0.101187215,-0.994874359,87,0
7.8,6/26/2001,27499,294118,13,2972,2001,2001-06,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5475,5475,53.72018265,1.730137481,87,1
3.1,7/2/2001,163549,2061097,13,3030,2001,2001-07,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5469,5469,376.8690803,2.576190508,93,1
3.9,7/1/2001,63527,779240,6,1294,2001,2001-07,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,5470,5470,142.4570384,2.153683911,92,2
8,6/30/2001,1155230,20525190,11,2213,2001,2001-06,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5471,5471,3751.634071,3.574220471,91,1
8.6,7/10/2001,173581,1805683,20,5821,2001,2001-07,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5461,5461,330.6506134,2.519369333,101,1
7.7,7/17/2001,119719,905817,12,3084,2001,2001-07,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5454,5454,166.0830583,2.220325333,108,1
7.1,7/17/2001,12712,76388,14,2578,2001,2001-07,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5454,5454,14.00586725,1.146310006,108,0
3.1,7/12/2001,11845,142920,12,2615,2001,2001-07,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5459,5459,26.18061916,1.417979913,103,0
9.4,7/31/2001,74060,987344,10,3060,2001,2001-07,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5440,5440,181.4970588,2.258869592,122,1
8.9,7/23/2001,105355,1106447,16,4148,2001,2001-07,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5448,5448,203.0923275,2.307693517,114,1
7.6,7/17/2001,70147,987463,16,3214,2001,2001-07,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,5454,5454,181.0529886,2.257805698,108,1
7.3,8/7/2001,835,7843,13,2883,2001,2001-08,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,5433,5433,1.443585496,0.15944251,129,1
